riderId,driverId,travelTime,matched
0,4197,4.807778,true
1,9539,2.031504,true
2,5452,5.011844,true
3,6167,0.519749,true
4,167,1.475647,true
5,2836,4.000152,true
6,3132,1.683277,true
7,5935,0.895515,true
8,8463,1.717014,true
9,4027,0.809514,true
10,1713,5.207584,true
11,8147,2.276129,true
12,8047,2.122231,true
13,357,6.366753,true
14,4023,3.065302,true
15,8283,3.043256,true
16,8310,1.765234,true
17,309,1.087148,true
18,8844,0.601894,true
19,5598,1.163929,true
20,4957,1.693920,true
21,4058,2.544006,true
22,4049,2.267666,true
23,4240,2.647191,true
24,255,1.537730,true
25,1900,1.106055,true
26,4825,1.041044,true
27,3514,2.334643,true
28,7399,1.308184,true
29,8035,2.106439,true
30,752,3.604154,true
31,7626,1.745258,true
32,7104,0.402636,true
33,1980,6.915698,true
34,1569,1.675085,true
35,3142,3.825320,true
36,2922,0.565019,true
37,4198,1.149369,true
38,2548,1.348520,true
39,5512,0.039762,true
40,7316,1.798526,true
41,5330,0.416691,true
42,9639,0.942842,true
43,998,1.525500,true
44,8069,2.473404,true
45,2237,1.985605,true
46,5577,0.465472,true
47,5687,5.226944,true
48,934,2.519635,true
49,9119,2.048464,true
50,8906,0.825469,true
51,5374,1.080976,true
52,9046,1.644002,true
53,639,1.045715,true
54,1484,0.390049,true
55,3079,1.605160,true
56,5920,2.183400,true
57,8526,2.179226,true
58,1712,0.910994,true
59,1274,2.947219,true
60,1487,4.343201,true
61,8378,5.675272,true
62,9844,1.542120,true
63,9787,2.461733,true
64,2174,1.403978,true
65,7315,0.536398,true
66,7376,0.768384,true
67,4019,1.245301,true
68,193,5.993802,true
69,2655,1.305184,true
70,7925,5.320085,true
71,5098,1.081770,true
72,1927,0.744373,true
73,4701,1.397876,true
74,1656,2.231143,true
75,5336,2.879469,true
76,8704,2.333965,true
77,7489,2.082240,true
78,5415,0.686399,true
79,8540,1.801636,true
80,1548,0.149407,true
81,6874,1.175833,true
82,1864,1.500451,true
83,6234,3.452329,true
84,6048,2.096236,true
85,9073,1.957482,true
86,1045,2.637036,true
87,8314,2.180357,true
88,9236,4.261733,true
89,148,1.238243,true
90,5435,2.509925,true
91,5085,2.749159,true
92,9668,1.532161,true
93,324,2.920454,true
94,3612,2.415899,true
95,2547,1.328411,true
96,4063,0.398973,true
97,2053,2.224389,true
98,688,4.188347,true
99,936,2.291612,true
100,5820,0.462978,true
101,1149,1.172267,true
102,1063,0.994363,true
103,6990,1.838590,true
104,9184,1.441188,true
105,2062,1.993129,true
106,1482,0.736196,true
107,7452,1.199117,true
108,3428,3.715976,true
109,3055,2.711866,true
110,8457,1.318570,true
111,1133,2.893763,true
112,4066,1.683894,true
113,7032,5.234705,true
114,7543,0.671231,true
115,2332,1.518513,true
116,1737,1.391173,true
117,4215,5.275942,true
118,9715,1.332988,true
119,9864,0.672353,true
120,7535,1.017800,true
121,1228,4.196559,true
122,6013,1.438084,true
123,475,2.243780,true
124,6168,2.934840,true
125,239,1.858736,true
126,3551,0.466577,true
127,5731,0.863646,true
128,5170,3.408571,true
129,2973,0.698696,true
130,2271,1.747593,true
131,6146,5.188830,true
132,8465,1.221632,true
133,2292,3.205399,true
134,2315,1.892038,true
135,7736,2.512380,true
136,1672,1.193525,true
137,4285,2.490793,true
138,5766,3.294312,true
139,5195,1.112255,true
140,499,1.987894,true
141,9234,1.694681,true
142,2797,3.204224,true
143,151,2.200165,true
144,5827,1.412328,true
145,8965,0.498547,true
146,74,3.775739,true
147,1468,3.776641,true
148,6447,2.133651,true
149,3043,1.055142,true
150,156,1.416467,true
151,3855,0.607428,true
152,5157,2.718076,true
153,7634,2.449552,true
154,3526,2.144564,true
155,6036,0.940546,true
156,8918,1.918422,true
157,4924,3.067009,true
158,3706,1.198415,true
159,2543,3.020253,true
160,4993,2.930772,true
161,199,0.905354,true
162,9875,2.948690,true
163,9944,0.278371,true
164,9459,1.138040,true
165,6623,1.469873,true
166,5606,0.389184,true
167,6109,1.831764,true
168,7832,1.180293,true
169,9341,0.736560,true
170,1849,5.717475,true
171,8699,2.394795,true
172,8299,1.196519,true
173,793,0.361860,true
174,9962,0.558256,true
175,5420,0.886624,true
176,9946,0.340411,true
177,4955,1.544805,true
178,7670,1.959853,true
179,6103,1.787190,true
180,3503,3.321838,true
181,5064,0.792884,true
182,4714,2.641716,true
183,6169,1.218646,true
184,6639,2.301533,true
185,3573,3.704358,true
186,5980,0.861466,true
187,1428,2.987194,true
188,2026,2.482830,true
189,4591,2.671369,true
190,6052,1.889153,true
191,7762,1.124293,true
192,5600,1.416439,true
193,553,4.710693,true
194,6851,3.616303,true
195,4372,2.877366,true
196,6818,1.266018,true
197,7254,1.065460,true
198,8343,2.751682,true
199,6626,1.666636,true
200,7022,0.900544,true
201,1590,1.575340,true
202,7952,2.308897,true
203,9424,0.988551,true
204,9478,3.219568,true
205,727,3.639049,true
206,8819,0.717582,true
207,7881,2.653038,true
208,3104,3.832190,true
209,6912,1.417430,true
210,1582,2.288970,true
211,8002,0.879479,true
212,4857,0.250942,true
213,9490,2.555358,true
214,1072,0.620843,true
215,4675,1.277929,true
216,1001,1.690824,true
217,4158,2.560013,true
218,9554,1.814558,true
219,2871,0.567057,true
220,1740,1.078934,true
221,6699,3.299688,true
222,3808,5.726540,true
223,1920,4.401005,true
224,2597,0.897680,true
225,2950,3.462518,true
226,86,3.629865,true
227,2521,5.491978,true
228,1709,3.651965,true
229,2030,1.180246,true
230,5169,5.947365,true
231,6333,0.900628,true
232,2436,1.278507,true
233,4526,1.078755,true
234,9109,3.586398,true
235,9616,2.965463,true
236,7788,0.785890,true
237,5206,3.610031,true
238,318,0.295390,true
239,9741,1.738556,true
240,6368,4.998242,true
241,8654,2.046121,true
242,7440,2.736417,true
243,7731,0.354001,true
244,3604,1.288870,true
245,4205,0.505755,true
246,186,1.854607,true
247,4634,3.131542,true
248,1542,0.270331,true
249,9248,2.397572,true
250,8206,2.025443,true
251,9189,2.272812,true
